,senator,party,position,ethnicity,gender,centroid,happiness_cs,anger_cs,disgust_cs,surprise_cs,sadness_cs,fear_cs,general_cs
0,Agudelo García Ana Paola,MIRA,opposition,0,0,"[ 1.45552799e-01  3.23945910e-01  3.40057015e-01 -7.59309605e-02
  7.00990409e-02 -2.47240916e-01  1.60705283e-01  5.01562536e-01
 -1.67065874e-01 -8.66498798e-02  3.04036677e-01 -7.97951370e-02
  3.14993799e-01 -1.02113105e-01  4.66452479e-01 -2.25293443e-01
  3.30192149e-01 -1.68923095e-01  2.17934519e-01 -4.85251546e-01
 -4.77145642e-01  3.85957986e-01  2.92882740e-01  1.40373662e-01
  5.36414906e-02 -1.92618653e-01 -3.18492681e-01 -4.89007950e-01
  7.13865925e-03  3.71472597e-01 -4.47707474e-01 -4.34401512e-01
  3.37091506e-01  4.18537259e-01 -6.68211952e-02  3.53706509e-01
  6.98605478e-01 -3.56322825e-01  1.91108420e-01 -7.55943358e-01
  3.76352966e-01 -5.77392131e-02 -3.46295126e-02  3.00392002e-01
  2.20062971e-01  1.16415456e-01 -3.17924678e-01 -1.59641996e-01
  5.74645877e-01  1.01336703e-01 -1.21128783e-01  2.21867591e-01
 -4.63595420e-01 -1.79785624e-01  2.39748597e-01  8.97287726e-02
  5.48566803e-02  8.30179080e-04 -8.54603201e-02  6.83967173e-01
 -2.14668959e-01  1.95528746e-01  2.19098419e-01 -6.70355916e-01
 -4.70585316e-01 -2.19184488e-01 -8.54100645e-01 -1.12831645e-01
  2.66277730e-01 -1.41844094e-01 -7.28362128e-02 -2.10174203e-01
 -3.87771785e-01  7.45111823e-01 -3.85904685e-02 -3.55980068e-01
 -4.05885458e-01 -2.76266187e-01 -7.10140944e-01 -3.43999118e-01
  3.42881382e-01  9.31662023e-02 -4.11527008e-01  6.86583877e-01
 -2.95418143e-01  1.05679011e+00  3.67837697e-02  2.65230238e-01
  7.00973749e-01 -2.98129153e-02  7.23633766e-02 -1.97155342e-01
  1.89228266e-01 -3.87588441e-01  1.98004037e-01  1.23571612e-01
  2.51028299e-01 -5.49913645e-01  9.23099518e-02 -7.27149069e-01]",0.63040674,0.5125666,0.556405,0.523317,0.5661409,0.5853336,0.60156685
1,Amín Saleme Fabio Raúl,Partido Liberal,independent,0,1,"[ 1.02855712e-01  6.64612770e-01  5.73856473e-01 -2.64077097e-01
  3.60674590e-01 -2.72010177e-01  3.19729984e-01  3.00671816e-01
 -1.12039074e-01 -4.69883382e-01  4.73913908e-01  6.75006062e-02
  4.33272868e-01 -2.54086852e-01  4.62704629e-01 -1.43858701e-01
  2.82364756e-01 -4.55924392e-01  2.60750055e-01 -1.55113623e-01
  2.36747302e-02  1.01117469e-01  2.66724050e-01  6.45257354e-01
 -1.13848180e-01 -3.77042294e-01 -5.71794249e-02 -4.82040972e-01
  3.23097974e-01 -1.33086473e-01 -4.53640342e-01 -4.41857904e-01
 -1.23114690e-01 -4.86411691e-01 -2.53349364e-01  6.52901530e-01
  3.68190587e-01 -4.93590891e-01 -2.84462888e-02 -2.31124550e-01
 -5.88372238e-02 -3.97714786e-02 -6.54327273e-01 -2.91646957e-01
  7.79425204e-02 -3.44965219e-01 -5.01424611e-01 -1.27784565e-01
  8.96946434e-03 -3.17506015e-01 -3.20782691e-01  2.19458304e-02
 -6.22229993e-01 -1.36160720e-02  9.18115526e-02 -1.48702458e-01
 -8.02270770e-02  1.11000463e-01  2.13562429e-01  9.94625092e-02
 -2.15851024e-01 -2.60031432e-01  9.50605422e-02 -5.29967666e-01
 -6.29635215e-01  4.09628302e-01 -1.74811184e-01 -8.15155506e-02
  1.52396619e-01 -7.94550180e-02 -3.26558381e-01  2.33281225e-01
  5.30090649e-04  7.45278120e-01  2.04244718e-01  3.04154083e-02
 -1.46965966e-01 -1.82871029e-01 -8.20442259e-01 -3.94126214e-02
  1.78871244e-01 -1.42696977e-01  5.85420057e-03  2.36610487e-01
 -4.49240506e-01  8.41560662e-01  1.35019347e-01  2.76541203e-01
  9.91498411e-01  1.21778943e-01  2.01784775e-01 -5.02064228e-01
 -3.90457250e-02 -2.93886989e-01  2.67982572e-01 -2.15312466e-04
  5.38822412e-01 -4.07902360e-01  1.14488766e-01 -1.82981879e-01]",0.61333877,0.49207574,0.5412833,0.5055814,0.5435898,0.5603583,0.5781672
2,Arias Castillo Wilson Neber,Centro Democrático,opposition,0,1,"[ 7.19151616e-01  5.53581476e-01 -4.97682691e-01 -5.77936947e-01
  1.07625735e+00 -2.93075383e-01  3.11731100e-01  8.41113091e-01
 -1.53738305e-01 -8.56545150e-01 -4.60738450e-01 -2.39571795e-01
 -2.89488286e-01 -2.15792850e-01  3.04720849e-01 -3.02707314e-01
 -1.97906733e-01 -3.49546880e-01  1.37431845e-01 -5.15561879e-01
 -4.26630318e-01  3.96069914e-01  3.72579247e-01  8.43121588e-01
 -1.80903584e-01 -4.64710623e-01 -3.07821989e-01 -6.94743395e-01
  5.23041606e-01  4.73190881e-02 -5.76642305e-02  2.38887295e-01
 -3.01561207e-02 -3.66000861e-01 -4.88740921e-01  5.96250415e-01
 -3.40165198e-01  2.52622336e-01 -1.56926252e-02 -3.92110676e-01
  1.21927425e-01  3.74163091e-01  1.68163538e-01  7.82545283e-02
  2.53172874e-01  1.94567531e-01 -1.49869666e-01 -3.30877781e-01
 -2.55214006e-01  5.69203079e-01 -9.77678299e-01 -8.00659531e-04
 -6.27061009e-01 -7.49496400e-01 -2.36609921e-01 -4.76732910e-01
 -2.26370730e-02  2.38527417e-01  3.17752093e-01  2.46700481e-01
  1.54297501e-01 -9.64013301e-03  6.38919994e-02 -2.66810656e-01
 -6.25084043e-01 -3.91038992e-02  2.64768279e-03 -4.66219008e-01
  2.95710057e-01 -4.15649146e-01  2.96522766e-01  1.58990160e-01
  3.14605802e-01  6.13132060e-01 -5.12755990e-01  4.25583094e-01
 -1.70878187e-01 -3.04447830e-01 -1.03117621e+00  1.01338357e-01
  4.20006335e-01 -3.01800728e-01 -5.98360300e-01  3.12000960e-01
 -6.67801127e-02  2.39928901e-01  7.14324266e-02  8.82459462e-01
  5.52390456e-01 -1.67753682e-01 -2.11232468e-01  5.57362773e-02
  3.33168864e-01 -1.24898039e-01  8.03957358e-02 -6.47916496e-01
  4.84229088e-01 -5.62082291e-01  1.30533293e-01 -9.16352153e-01]",0.5564188,0.4999893,0.507867,0.4969874,0.51982415,0.52010584,0.5257133
3,Asprilla Reyes Inti Raúl,Alianza Verde,government,0,1,"[ 0.15084481  0.46162972  0.27333254 -0.18378296  0.3478327  -0.22012356
  0.21842879  0.3516302  -0.05351721 -0.34402883  0.2860015  -0.04478242
  0.23723024 -0.19664775  0.3838666  -0.02684325  0.22206366 -0.33389193
  0.20067908 -0.23976934 -0.13601209  0.11162092  0.16182408  0.4631366
 -0.12711167 -0.29747137 -0.09476513 -0.42769212  0.2255708  -0.01917404
 -0.21580997 -0.3870415  -0.07329641 -0.18677098 -0.26503667  0.53449637
  0.28399536 -0.24124736  0.06836054 -0.20060071 -0.00312244 -0.00096657
 -0.31005105 -0.16251945  0.07873081 -0.14462622 -0.34316534 -0.07259499
  0.07444313 -0.14478718 -0.2764985   0.06510786 -0.49349824 -0.09691554
  0.07682543 -0.04621527 -0.0681183   0.0986011   0.18005866  0.20169038
 -0.18012717 -0.16696408  0.06763877 -0.37785712 -0.5324542   0.2125485
 -0.2502393  -0.10237806  0.17192772 -0.05266861 -0.18072781  0.02088226
 -0.05720985  0.61026996  0.09366695 -0.11249907 -0.23605394 -0.1379833
 -0.6332024  -0.05935274  0.21096247 -0.10158231 -0.13495372  0.3397636
 -0.23495838  0.66993564  0.04542227  0.3097862   0.85275114  0.00151647
  0.13821211 -0.32188866  0.05713551 -0.23701054  0.12092416 -0.1137989
  0.40029818 -0.38240296  0.10137187 -0.3393739 ]",0.69437766,0.5794176,0.61717135,0.5831386,0.62631136,0.6417536,0.6548702
4,Avella Esquivel Aída Yolanda,Unión Patriótica,government,0,0,"[ 0.13539857  0.04884692  0.0585149  -0.17891423  0.1399796  -0.17142817
  0.17529133  0.28406513 -0.18422952 -0.04954929  0.14279175 -0.01254778
  0.09570051 -0.01377867  0.27575493 -0.01587987  0.12293784 -0.08266165
  0.12208932 -0.22463174 -0.04324905  0.23740356  0.10497123  0.1660775
  0.07375911 -0.38335174  0.01328611 -0.19886303  0.03654451 -0.0395133
 -0.15723522 -0.2635034  -0.01705569  0.0620425  -0.16365726  0.3129217
  0.13945663 -0.0634382   0.15335427 -0.23697759  0.01921802  0.03201575
 -0.07827227  0.04953888  0.04876179  0.08362477 -0.24233118  0.04879728
  0.08364384  0.07899141 -0.216075    0.13383247 -0.40353492 -0.13148156
  0.16164294  0.04474726  0.05121832  0.19875611  0.15769197  0.39699626
 -0.09706618 -0.00299676 -0.03700867 -0.29926297 -0.22278641  0.03459277
 -0.27963215 -0.13244623  0.21372864 -0.03386266  0.13509999 -0.02136025
 -0.1393183   0.3280803   0.04532219 -0.14100529 -0.13176847 -0.15141489
 -0.39270207 -0.06076366  0.24598919  0.00867938 -0.17626543  0.27924585
 -0.11260194  0.37363046  0.02495007  0.07695661  0.5160925   0.04793767
  0.05158167 -0.09479145  0.04741818 -0.02794116  0.00325264 -0.01482405
  0.21177532 -0.5408563   0.14180732 -0.34147936]",0.68254507,0.55442435,0.59996426,0.5636225,0.60318166,0.62692195,0.639585
5,Ávila Martínez Ariel Fernando ,Alianza Verde,government,0,1,"[ 0.2120867   0.4422425   0.32671934 -0.20791924  0.40248966 -0.19365987
  0.202295    0.32563436  0.14808618 -0.4918627   0.43880722 -0.03508631
  0.1722123  -0.15414251  0.375062    0.19824347  0.34809008 -0.506158
  0.25970614 -0.15252559 -0.08124366  0.01561897  0.00558982  0.7571601
 -0.2104162  -0.28746727  0.09724801 -0.57298946  0.28071782 -0.04224991
 -0.13038659 -0.57465535 -0.12024298 -0.36009976 -0.18970789  0.57425267
  0.28330243 -0.29525974  0.17827396 -0.07241172  0.02709298  0.03889405
 -0.3289018  -0.25913456  0.05699451 -0.1013106  -0.3150846   0.03489941
 -0.10075355 -0.16326727 -0.31127837  0.03524035 -0.55499923 -0.01235153
  0.06405923  0.08370221 -0.17832999 -0.00209747  0.39406982 -0.00416808
 -0.2794391  -0.11064398 -0.03756876 -0.42383805 -0.7801324   0.31269804
 -0.13349843 -0.07735053  0.27302682 -0.04869798 -0.20843823  0.02890666
 -0.05539429  0.701928    0.2718522  -0.16797104 -0.35043964  0.04542096
 -0.65681857  0.0566695   0.34939733  0.03346885 -0.06177431  0.3349634
 -0.1074499   0.70795876 -0.01343752  0.40779424  1.0533168  -0.19720693
 -0.01888777 -0.4938546  -0.01439753 -0.23336656 -0.12135296 -0.23737761
  0.4033003  -0.39254606  0.16870871 -0.27893376]",0.6143501,0.5342401,0.55140877,0.522494,0.5614012,0.57047606,0.5725305
6,Barrera Rodríguez Josué Alirio  ,Centro Democrático,opposition,0,1,"[ 0.08663667  0.22329418  0.05878717 -0.22558463  0.24519956 -0.14245424
  0.15865912  0.24488759  0.03134729  0.02247381  0.273131   -0.12538089
  0.11716082 -0.05026268  0.24324052 -0.00902514  0.00240246 -0.1200069
  0.3237628  -0.3234752  -0.06704053  0.08702273  0.20306353  0.23798709
  0.04548939 -0.24171133  0.02770421 -0.38004637 -0.04430023  0.10342016
 -0.08376639 -0.31209275 -0.11583652  0.09759742 -0.13834009  0.30136046
  0.31198075 -0.08662031  0.25650728 -0.26881245 -0.05155018 -0.04349897
 -0.12156987 -0.03684899  0.07438775  0.02935308 -0.31624827  0.2022938
  0.2471966   0.0207036  -0.30820277  0.0919381  -0.42140445 -0.12540929
  0.20660543  0.10905019 -0.14960289  0.13017781  0.11207178  0.37968585
 -0.13526605 -0.07352912  0.075578   -0.41543436 -0.529754    0.02038366
 -0.34205285 -0.16777252  0.320855    0.02325224  0.06250415  0.00875848
 -0.17382395  0.465561   -0.03378546 -0.19631045 -0.24055219 -0.34642136
 -0.5597942  -0.07906281  0.20352066 -0.06027028 -0.11812932  0.5387912
 -0.02485976  0.46489206  0.05773736  0.05263032  0.7394266  -0.05540888
  0.27327403 -0.07551404  0.11158706 -0.07696586 -0.09232706  0.08760764
  0.3507103  -0.6243717   0.07898811 -0.46651575]",0.71914285,0.6206715,0.64842737,0.6143627,0.660885,0.6759546,0.6839601
7,Barreto Castillo Miguel Ángel,Partido Conservador,independent,0,1,"[ 0.33896238  0.3322174  -0.06907227 -0.44204897  0.45276633 -0.2607493
  0.23231931  0.3453505  -0.04011338 -0.35119894  0.16896567 -0.02609952
  0.02070573 -0.13877155  0.32032278 -0.02753993 -0.01978602 -0.06935968
  0.22890776 -0.31548113 -0.10567449  0.32101205  0.17718928  0.5148085
  0.00114477 -0.40405387  0.00612767 -0.49196863  0.20354441 -0.01474392
 -0.20408198 -0.10688025 -0.03638621 -0.03431334 -0.15894395  0.4259945
  0.13109356 -0.08047263  0.17866126 -0.30766135  0.06318056  0.11903672
 -0.01964019  0.00811832  0.13765386  0.04923135 -0.30827716  0.02018547
 -0.02759403  0.09226577 -0.5933478   0.14409508 -0.5330651  -0.39906165
  0.16740553 -0.00965244  0.01742398  0.26891702  0.41481784  0.3846717
 -0.03303447  0.00427885 -0.06078355 -0.5039008  -0.48497862  0.03659701
 -0.30790263 -0.30661187  0.2447289  -0.15684363  0.13396607 -0.04448627
  0.0274231   0.63841546 -0.08560792  0.03936137 -0.06331693 -0.40040106
 -0.77124274 -0.06757566  0.27357587 -0.08058963 -0.2477568   0.3094063
 -0.093616    0.47646454  0.07851829  0.24986863  0.80658376 -0.08057744
  0.01007209 -0.07032667  0.06735451 -0.01213437 -0.09261329 -0.16696261
  0.5349651  -0.6106564   0.08458356 -0.59460217]",0.6812936,0.594642,0.6130273,0.58233726,0.62404597,0.6353963,0.6410363
8,Barreto Quiroga Óscar ,Partido Conservador,independent,0,1,"[ 0.3019796   0.44373548  0.1089954  -0.60268265  0.43299115 -0.20099705
  0.07519796  0.22347772  0.32373032 -0.34876433  0.21869819  0.07764765
  0.05322318 -0.27127716  0.30162653 -0.09803637  0.08108947 -0.06463743
  0.5796388  -0.12161835  0.00837286  0.2806525   0.06842649  0.7212946
 -0.08716593 -0.25314736  0.27754703 -0.6159684   0.27629754 -0.09674551
 -0.17511712 -0.03357649 -0.21533673  0.03274512  0.06383449  0.46143964
  0.16035447 -0.21939568  0.32782283 -0.31649008  0.11607077  0.03048265
 -0.1565134   0.03672336  0.08742609 -0.03241704 -0.31008652  0.07561608
 -0.08126172 -0.12344555 -0.5085328   0.14305176 -0.48537752 -0.39905763
  0.14936565  0.11498654 -0.05530435  0.28968933  0.6237433   0.17464583
  0.08614186  0.11314497 -0.16946669 -0.63359934 -0.636975    0.09848446
 -0.31344867 -0.4503717   0.33657    -0.1557222   0.05738045 -0.25407824
 -0.07883622  0.932627   -0.07212514  0.23817013  0.00850197 -0.50006044
 -0.908241    0.14628941  0.36266735  0.04202192 -0.18544453  0.16156636
  0.06932073  0.42788604 -0.02743335  0.23464458  0.9472138  -0.19839698
 -0.03720544 -0.25857684 -0.09165385 -0.01483306 -0.34294844 -0.21028621
  0.9715504  -0.7251239   0.10452861 -0.56215304]",0.60747504,0.582773,0.5640087,0.5381846,0.5824208,0.57970595,0.5715244
9,Bedoya Pérez Sor Berenice,Alianza Social Independiente,opposition,0,0,"[ 0.31535685  0.1379433   0.12705234 -0.1962603   0.3081578  -0.13130122
  0.4408544   0.6420258  -0.63507015 -0.34532434  0.37066454 -0.02457531
  0.2502005   0.00427001  0.45130333 -0.27989396  0.18994708 -0.30768225
  0.26663855 -0.51758003  0.14296687  0.24141604  0.5905433   0.43300688
  0.5725927  -0.984925   -0.19458935 -0.32928818 -0.05589384 -0.06416627
 -0.7083894  -0.55650294  0.00443571 -0.33405408 -0.37706962  0.5919356
  0.2388102  -0.3895169   0.18191883 -0.5017489  -0.23486073  0.24750446
 -0.39750302 -0.17333835  0.05729522 -0.04827045 -0.6542682   0.28644732
  0.1612892   0.30858707 -0.62677366  0.11614925 -0.9498306  -0.12541136
  0.24729419 -0.15988795 -0.10966337  0.23876537  0.09491012  0.79584706
 -0.44205442 -0.07404339 -0.02106217 -0.578273   -0.7663638   0.32974288
 -0.27454817 -0.30571765  0.482066   -0.1746788   0.2803416   0.34894684
 -0.16498443  0.27854264 -0.08122595 -0.03708697 -0.28654432 -0.21916877
 -0.81337553 -0.23542787  0.3973458   0.0315883  -0.20570143  0.8859207
 -0.48768878  0.81274664  0.24792211  0.08274325  0.8452087   0.29504097
  0.26171452 -0.0165338   0.03495789 -0.07142331  0.14968857  0.22131023
 -0.07987939 -1.0890597   0.3378372  -0.5047129 ]",0.6551004,0.4916467,0.57226145,0.53484476,0.5645795,0.59549004,0.6211921
